full_text,precinct,shape_area,shape_len,ward,TOTPOP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER,NH_2MORE,HISP,H_WHITE,H_BLACK,H_AMIN,H_ASIAN,H_NHPI,H_OTHER,H_2MORE,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP,2MOREVAP,TOTHH,LESS_10K,10K_15K,15K_20K,20K_25K,25K_30K,30K_35K,35K_40K,40K_45K,45K_50K,50K_60K,60K_75K,75K_100K,100K_125K,125K_150K,150K_200K,200K_MORE,JOINID,TOTV_19,JOYCE_19,VALLAS_19,WILSON_19,PRECK_19,DALEY_19,MCCART_19,CHICO_19,MEND_19,ENYIA_19,FORD_19,SALGRIF_19,LHGTFT_19,FIORETTI_1,KOZLAR_19,TOTV_RO15,RO_E15,RO_G15,TOTV_G15,EMAN_G15,WILS_G15,FIORET_G15,GARCIA_G15,WALLS_G15,TOTPOP19,NH_WHITE19,NH_BLACK19,NH_AMIN19,NH_ASIAN19,NH_NHPI19,NH_OTHER19,NH_2MORE19,HISP19,H_WHITE19,H_BLACK19,H_AMIN19,H_ASIAN19,H_NHPI19,H_OTHER19,H_2MORE19,Ward_Prec,MAY19LL,MAY19TP,COUNTY,HVAP_pct,WVAP_pct,BVAP_pct,AMINVAP_pct,ASIANVAP_pct,NHPIVAP_pct,OTHERVAP_pct,2MOREVAP_pct,LESS_10K_pct,10K_15K_pct,15K_20K_pct,20K_25K_pct,25K_30K_pct,30K_35K_pct,35K_40K_pct,40K_45K_pct,45K_50K_pct,50K_60K_pct,60K_75K_pct,75K_100K_pct,100K_125K_pct,125K_150K_pct,150K_200K_pct,200K_MORE_pct,GARCIA_G15_pct,EMAN_G15_pct
41027,27,309076162.8,139749.4303,41,2197.199822,1842.147074,37.52380968,0,78.76849971,0,0.998978185,27.99912084,209.7623396,136.7733089,4,1,0,0,55.98937579,11.99965494,1755.191285,151.7782984,1492.879858,28.7613615,0,55.77239203,0,0,25.99937489,2481.53614,134.3876378,242.2784259,131.9151557,182.2695337,172.3493324,111.6001702,71.49537798,146.7972216,76.6367093,177.1455753,385.0404123,289.4732372,157.3674582,102.8899002,48.11169529,51.77829746,C41027,222,34,31,12,6,44,22,20,25,6,1,0,15,4,2,276,184,92,154,60,2,15,72,5,4052,3273.539203,49.59853033,0,161.1418141,1.162063953,0,30.29799002,536.2603991,411.6121596,3.295395758,0,0,0.008270159,121.3149388,0.029634735,41-27,147,34,Cook,0.086473936,0.850551089,0.016386454,0,0.031775677,0,0,0.014812844,0.054155019,0.097632439,0.053158668,0.073450284,0.069452679,0.044972212,0.028810936,0.059155786,0.03088277,0.07138545,0.155162122,0.116650825,0.06341534,0.041462181,0.019387868,0.020865421,0.467532468,0.38961039
5025,25,25695249.81,35894.52218,5,1179.000035,40.00000205,1063.000032,2,3.000000273,1.96E-07,2,38.00000001,31.00000075,0.999999998,11.00000039,1,0,0,7,11.00000036,922.0000346,18.00000055,34.00000244,839.000031,2,3.000000261,1.96E-07,2,24.0000002,2159.706274,368.3369306,210.1728958,157.8204673,103.1048793,149.2734364,46.95997356,63.89233454,81.7268006,37.61252862,232.8171575,163.4608704,143.9311918,118.8465156,49.39812554,65.02421276,167.3279535,C05025,316,2,7,36,115,34,1,6,14,29,8,0,61,1,0,339,184,155,163,71,49,7,28,8,1179,57.02609419,1101.726411,17.80599484,0,0,0,0,2.441500167,0,2.426174497,0,0,0,0.01532567,0,25-May,204,126,Cook,0.019522776,0.036876357,0.909978307,0.002169197,0.003253796,2.13E-10,0.002169197,0.026030368,0.170549549,0.0973155,0.073074968,0.047740232,0.069117471,0.021743685,0.029583807,0.037841628,0.017415576,0.10780038,0.075686621,0.066643874,0.055029018,0.022872613,0.030107896,0.077477181,0.171779141,0.435582822
48041,41,1248112.661,4917.914119,48,2077.999953,789.9999852,584.9999937,4,190.9999928,0,4,52.99999827,450.9999831,225.9999948,13,18.99999926,1,0,164.9999906,26.9999985,1810.999964,329.9999896,749.9999864,502.9999942,4,177.9999941,0,4,41.99999926,1475.699322,266.9912812,204.9178152,150.8111675,93.23485758,141.7653914,95.06917711,68.23241908,79.92407546,34.57977192,105.5364246,67.06855078,20.89086504,49.32954263,16.99999819,42.17399306,38.17399093,C48041,366,7,5,12,84,35,6,11,25,62,3,1,106,4,3,296,150,146,286,108,64,9,89,16,2078,863.2764529,440.4667519,25.20541082,272.4965701,0,0,48.7442246,427.8105897,391.2979667,0,0,0,0,20.19518925,16.31743373,48-41,211,137,Cook,0.182219766,0.414135837,0.277747103,0.002208725,0.098288237,0,0.002208725,0.023191607,0.180925258,0.138861496,0.102196406,0.063180118,0.096066583,0.064423135,0.046237345,0.054160136,0.023432803,0.071516211,0.045448656,0.014156586,0.033427909,0.011519961,0.028578988,0.025868407,0.311188811,0.377622378
3024,24,5716768.43,12629.24018,3,1677.000001,17.00000003,1595.000001,2,3,0,1,28,31.00000002,6,15.00000002,0,1,0,8,1,1210.000001,25,16.00000003,1149.000001,0,3,0,1,16,921.8833973,251.3347553,177.8338306,87.3854214,103.7373166,15.8103336,32.28999408,38.96216711,27.61937749,19.27945957,44.48904497,50.1182297,22.47244466,38.62620624,10.66706043,4.15E-07,1.257755154,C03024,266,6,8,77,65,32,4,7,4,22,4,2,33,1,0,291,188,103,225,107,7,32,79,0,1677,23.00207039,1597.690313,1.015037594,9.637681159,0,0,7.778958265,37.87593985,0.845864662,29.92808107,0,6.086956522,0,1.015037594,0,24-Mar,179,107,Cook,0.020661157,0.013223141,0.949586777,0,0.002479339,0,0.000826446,0.01322314,0.272631827,0.192902737,0.094790102,0.11252759,0.017150036,0.035026115,0.042263661,0.02995973,0.020913122,0.048258863,0.054365042,0.024376667,0.041899232,0.011570943,4.51E-10,0.001364332,0.351111111,0.475555556
2045,45,476271.1449,2986.071131,2,1448.999997,830.9999984,352.9999999,3.999999989,172.9999991,1,3,16,67.9999995,40.99999952,7.999999995,0,0,0,15.99999999,3,1407.999997,64.9999995,806.9999984,349.9999999,2.999999995,162.9999993,1,3,16,1060.952632,316.048923,176.6260859,36.99999084,12.99999985,4.92E-07,53.81305349,14.00000108,18.81033998,8.42E-07,29.23593488,67.62612557,58.27948646,131.2250251,61.24681963,52.6234072,31.41743719,C02045,323,23,15,21,52,61,18,15,32,20,4,0,53,3,5,342,238,104,213,56,15,6,132,4,1449,764.2472215,299.4009217,0,221.9045812,0,0,96,67.44727568,12.85714286,0,0,0,0,42.62618596,11.96394687,Feb-45,241,83,Cook,0.046164772,0.573153409,0.248579546,0.002130682,0.115767045,0.000710227,0.002130682,0.011363636,0.297891643,0.166478767,0.03487431,0.012253139,4.64E-10,0.050721448,0.013195689,0.01772967,7.94E-10,0.027556306,0.063740947,0.05493128,0.123686036,0.057728138,0.049600148,0.029612479,0.61971831,0.262910798
20029,29,4269570.512,10168.30828,20,1520.99999,11.99999988,1444.999991,0,27.99999947,0,1,9.999999976,24.99999994,0.999999938,23,0,1,0,0,0,1143.999992,7.999999938,10.99999988,1087.999993,0,26.99999947,0,1,8.999999976,560.2982565,175.067859,167.5596392,34.4178297,31.68741637,73.93204637,3.343783297,14.45360402,5.308853186,6.846120061,2.249040202,13.71181219,25.64518913,2.286905749,3.78815788,0,1.31E-07,C20029,337,6,4,134,78,23,1,5,10,17,6,3,44,3,0,325,203,122,177,68,6,16,85,2,1521,23.84147114,1458.697652,0,14.48863636,0,0,0,23.97224008,20.4867935,0,0.587719298,0,0,2.897727273,0,20-29,176,119,Cook,0.006993007,0.009615385,0.951048951,0,0.023601398,0,0.000874126,0.007867133,0.312454763,0.299054365,0.061427694,0.056554551,0.131951234,0.005967863,0.025796268,0.009475049,0.012218707,0.004014005,0.024472345,0.045770603,0.004081586,0.006760967,0,2.34E-10,0.480225989,0.384180791
10013,13,202740181.1,70199.48025,10,1655.999998,60,391.0000019,3.999999992,2,0,0,25.99999982,1172.999996,513.9999975,27,5,0,0,593.9999994,32.99999928,1168.999998,853.9999972,51,243.0000012,2.999999992,2,0,0,15.99999982,1107.499477,280.3045802,166.0869028,100.2290516,85.98485406,64.34952635,39.19708668,35.61635965,29.25917435,9.503373167,37.75612434,99.76563914,78.67087958,61.9973322,0.478395416,15.80471629,2.495481556,C10013,242,9,13,19,8,22,6,85,60,4,2,0,10,2,1,367,125,242,291,135,49,15,73,19,1656,69.69512195,770.7332809,0,0,0,0,3.570967742,812.0006294,737.1807238,7.935483871,0,0,0,66.88442172,0,13-Oct,141,34,Cook,0.730538921,0.043627032,0.207869976,0.002566296,0.001710864,0,0,0.013686912,0.253096806,0.149965671,0.090500315,0.077638731,0.058103437,0.03539242,0.032159256,0.026419132,0.008580928,0.034091325,0.090081884,0.071034688,0.055979559,0.00043196,0.014270631,0.002253258,0.250859107,0.463917526
29021,21,1940289.177,5575.044341,29,2116.999958,9,2061.999959,2,1,1,0,7.999998754,34,6,6,0,0,0,19,3,1486.999973,23,9,1444.999974,2,1,1,0,5.999998754,792.9999256,74.00000375,162.9999824,14.0000007,68.99999422,19.99999782,79.99998985,56.99999274,55.99999477,14.99999946,21.99999852,99.99998697,21.99999803,31.99999551,36.99999476,31.9999955,7.04E-07,C29021,251,3,1,88,51,21,2,0,11,21,10,0,36,4,1,288,181,107,259,115,5,13,125,1,2117,36.36285561,2043.13795,0,0,0,0,20.45410628,17.04508857,17.04508857,0,0,0,0,0,0,29-21,189,72,Cook,0.015467384,0.006052455,0.971755212,0.00134499,0.000672495,0.000672495,0,0.004034969,0.093316533,0.205548547,0.017654479,0.08701135,0.025220681,0.10088272,0.071878938,0.070617907,0.018915512,0.02774275,0.1261034,0.027742749,0.040353088,0.046658258,0.040353088,8.88E-10,0.482625483,0.444015444
4011,11,3127425.562,11089.0378,4,2040.999957,33.99999994,1941.999958,1.999999876,7,2,4.999999751,27.99999994,20.99999988,9,6,0,0,0,1.999999876,4,1405.999975,13.99999994,24.99999994,1340.999976,1.999999876,6,2,1,14.99999994,996.4385989,331.8911588,162.6169469,73.04426663,74.16772784,41.9579222,45.32266283,51.92035644,63.6593793,8.657484137,58.18011945,32.55079908,32.36362244,6.846678073,3.315689156,9.943784705,8.88E-07,C04011,303,3,5,77,83,26,1,5,8,38,8,1,39,4,0,340,221,119,279,181,9,22,63,4,2041,13.08129386,1936.544368,0,16.86391334,0,10.93383743,5.28551532,58.29107253,42.87344497,2.466573816,0,0,0,8.370273794,4.580779944,11-Apr,198,122,Cook,0.009957326,0.017780939,0.953769558,0.001422475,0.004267425,0.001422475,0.000711238,0.010668563,0.333077381,0.163198161,0.073305336,0.074432813,0.042107885,0.045484652,0.052105927,0.063886906,0.008688427,0.058388063,0.03266714,0.032479294,0.006871149,0.00332754,0.009979325,8.91E-10,0.225806452,0.64874552
10001,1,5626781.36,10344.12708,10,1240.93685,31.31228334,732,3,2,0,0,7,465.6245667,211.6245667,17,0,0,0,220,17,894.93685,353.6245667,31.31228334,500,2,2,0,0,6,696.1688977,172.4439308,159.9955678,88.61529981,55.75919789,15.04341228,23.16513954,20.6579039,20.66535663,15.11934714,36.77627778,44.99327291,20.8023195,6.860657165,1.05E-07,15.27121436,1.63E-07,C10001,207,3,5,37,50,15,1,23,32,14,1,0,21,1,1,250,127,123,167,64,51,6,38,8,1240,45.93602344,738.425307,0,11.4479638,0,0,2.279503106,441.9112026,292.1568913,25.07453416,0,0,0,116.8134735,7.866303645,1-Oct,154,59,Cook,0.395139128,0.03498826,0.558698639,0.002234795,0.002234795,0,0,0.006704384,0.247704158,0.229822918,0.127289944,0.080094354,0.021608854,0.033275172,0.029673696,0.029684401,0.02171793,0.05282666,0.064629823,0.029881139,0.009854875,1.50E-10,0.021936077,2.35E-10,0.22754491,0.383233533
